VENDER,ITEM,PRICE,SHIPPING,PCS,COUNT,COMMENT,COMMENT
,,,,,,,
ALIEXPRESS,,,,,,,
,FEET,1.69,0,10,1,,
,KEYCAPS,20.22,0,104,1,BLUE,
,STABS,7.69,0,"(1) 6.25u, (4) 2u",1,,
,ROTARY,1.42,0,1,0,EXCLUDED,
,HEADERS,1.44,1.99,10,0,EXCLUDED,
,STANDOFFS,3.08,0,100,1,6mm M3,
,SCREWS,2.12,0,50,1,14mm M3,
,SCREWS,1.81,0,50,1,8mm M3,
,WIRE,5.04,0,10m,2,22 AWG,PRICE IS FOR BOTH
,SOLDER,5.36,0,50G,1,LEAD-FREE,
,BRASS SPONGE,3.67,0,1,1,(so hackclub doesn’t have to pay for tips in the future),
,DIODES,1.46,0,100,1,,
,,,,,,,
,TOTAL,52.14,,,,,
,,,,,,,
AMAZON,,,,,,,
,GLUE,7.49,0,1,1,,
,PICO,7.48,0,2,1,,
,USBC BREAKOUT,5.99,0,5,1,,
,WIRE STRIPPER,8.99,0,1,1,,
,SWITCHES,32.99,0,108,1,gateron yellow,
,,,,,,,
,TOTAL,62.94,,,,,
,,,,,,,
SHIPPING,20,(reserved for printing legion shipping),,,,,
TAXES,,(Have more than enough for my state sales tax),,,,,
,,,,,,,
TOTAL,135.08,,,,,,
